Frame,Red channel,Green channel,Blue Channel,Red_back,Green_back,Blue_back,Pressure
frame0,165.91327913279133,156.34417344173443,137.18428184281842,217.50815217391303,223.3070652173913,224.82065217391303,-0.044193059
frame1,166.11653116531164,156.4878048780488,137.46070460704607,216.4836956521739,221.87771739130434,223.10597826086956,-0.041483253
frame2,165.93766937669378,156.24119241192412,136.96476964769647,215.9538043478261,221.27717391304347,222.39945652173913,-0.036815554
frame3,166.2710027100271,156.5772357723577,137.4308943089431,216.4836956521739,221.87771739130434,223.10597826086956,-0.036416143
frame4,166.17344173441734,156.53387533875338,137.55013550135502,216.2445652173913,222.13858695652175,222.64673913043478,-0.035364866
frame476,163.9512195121951,155.46612466124662,136.50677506775068,195.1358695652174,197.04076086956522,192.8233695652174,-0.056138784
frame477,164.80758807588077,155.7750677506775,137.32249322493226,194.2173913043478,196.10054347826087,191.91032608695653,-0.057509571
frame478,164.77777777777777,155.91869918699186,137.2330623306233,197.32065217391303,199.6358695652174,196.08152173913044,-0.053514302
frame479,164.98373983739836,155.9810298102981,137.4878048780488,201.08423913043478,203.60054347826087,201.7798913043478,-0.047263086
frame480,165.05962059620597,155.95934959349594,136.64769647696477,201.96195652173913,206.40217391304347,204.40217391304347,-0.039809734
frame481,165.4769647696477,156.09756097560975,137.1490514905149,202.64673913043478,207.16304347826087,205.67934782608697,-0.033955067
frame482,165.62059620596207,156.22222222222223,136.92411924119241,202.8423913043478,207.3804347826087,205.3804347826087,-0.028387427
frame483,165.1382113821138,156.22222222222223,137.02710027100272,202.8423913043478,207.3804347826087,205.91847826086956,-0.025059313
frame484,165.18157181571814,156.31436314363143,137.20325203252034,202.30434782608697,207.3804347826087,205.3804347826087,-0.02326864
frame485,165.66666666666666,156.32249322493226,137.55555555555554,201.82608695652175,205.7826086956522,203.2608695652174,-0.023795366
frame486,165.68563685636857,156.3089430894309,137.21138211382114,201.1576086956522,205.6195652173913,203.08152173913044,-0.024454296
frame487,165.82384823848238,156.47967479674796,137.5040650406504,204.3695652173913,209.20652173913044,207.04347826086956,-0.023910254
frame488,165.9349593495935,156.59078590785907,137.79945799457994,202.7608695652174,208.45108695652175,206.2961956521739,-0.025156051
frame489,166.03523035230353,156.73441734417344,138.0650406504065,205.89673913043478,211.19021739130434,209.41032608695653,-0.024031371
frame490,165.4959349593496,156.63143631436316,137.8509485094851,205.95923913043478,211.24728260869566,209.4836956521739,-0.023275256
frame491,165.91327913279133,156.57181571815718,137.8509485094851,206.57065217391303,211.77173913043478,210.07608695652175,-0.023224771
frame492,166.02439024390245,156.5880758807588,137.70731707317074,205.54891304347825,210.83967391304347,209.1413043478261,-0.023685306
frame493,166.01626016260164,156.68563685636857,137.53929539295393,205.43478260869566,210.6929347826087,208.97826086956522,-0.023743063
frame494,165.9620596205962,156.60433604336043,137.28455284552845,205.54891304347825,210.83967391304347,209.1413043478261,-0.023331761
frame495,166.0650406504065,156.74254742547424,137.91327913279133,206.12771739130434,211.4076086956522,209.72554347826087,-0.023802102
frame496,166.15718157181573,156.77777777777777,138.07588075880759,206.05978260869566,211.35054347826087,209.66847826086956,-0.024088413
frame497,166.42818428184282,156.8861788617886,138.59349593495935,209.51902173913044,215.5625,215.52445652173913,-0.022393048
frame498,166.16260162601625,156.77777777777777,138.27913279132792,209.49184782608697,215.56521739130434,215.5733695652174,-0.021690369
frame499,166.24119241192412,156.88346883468836,138.60433604336043,209.51902173913044,215.5625,215.52445652173913,-0.022138536
frame500,165.32249322493226,156.42547425474254,137.72086720867208,208.7038043478261,214.8179347826087,214.75815217391303,-0.020613104
frame501,165.2710027100271,156.4227642276423,137.7669376693767,208.7038043478261,214.78532608695653,214.69565217391303,-0.020812571
frame502,165.24119241192412,156.36314363143632,137.7669376693767,208.7038043478261,214.8179347826087,214.77445652173913,-0.020754308
