Frame,Red channel,Green channel,Blue Channel,Red_back,Green_back,Blue_back,Pressure
frame0,160.11917443408788,158.64247669773636,156.51997336884153,244.72569906790946,239.939414114514,243.72569906790946,-0.04616233706474304
frame1,159.70372836218377,158.21304926764313,156.1005326231691,244.95272969374167,239.9520639147803,243.73768308921439,-0.050148725509643555
frame2,159.23102529960053,157.8814913448735,155.62982689747005,243.0093209054594,237.35885486018643,241.0093209054594,-0.051512211561203
frame3,159.6438082556591,158.3561917443409,156.13515312916113,244.16844207723037,238.47536617842877,242.16844207723037,-0.04915088415145874
frame4,159.0745672436751,158.09454061251665,155.7190412782956,243.47536617842877,237.78229027962718,241.47536617842877,-0.054014652967453
frame5,158.982689747004,158.18774966711052,155.72969374167775,244.16844207723037,238.47536617842877,242.16844207723037,-0.059739917516708374
frame6,159.99866844207722,158.8774966711052,156.53462050599202,243.2063914780293,237.51131824234355,241.2063914780293,-0.047486841678619385
frame7,160.59520639147803,159.59454061251665,157.3422103861518,244.90146471371506,239.11717709720372,242.90146471371506,-0.0281754732131958
frame8,160.04194407456725,159.00532623169107,156.66844207723037,244.78761651131825,239.0093209054594,242.78761651131825,-0.021063178777694702
frame9,160.42343541944075,159.32623169107856,157.10252996005326,244.90146471371506,239.11717709720372,242.90146471371506,-0.01316457986831665
frame10,159.9347536617843,158.89813581890812,156.6005326231691,245.5659121171771,239.78761651131825,243.5659121171771,-0.01702401041984558
frame11,159.5965379494008,158.57589880159787,156.19906790945407,245.47270306258324,239.69906790945407,243.47270306258324,-0.024121612310409546
frame12,159.3022636484687,158.30026631158455,155.91810918774968,244.6358189081225,239.6358189081225,243.40612516644475,-0.03550073504447937
frame13,159.42210386151797,158.47669773635153,156.10852197070574,245.47270306258324,239.69906790945407,243.47270306258324,-0.04226386547088623
frame14,159.27430093209054,158.30625832223703,156.3195739014647,244.6358189081225,239.6358189081225,243.40612516644475,-0.044383734464645386
frame15,159.45406125166446,158.62516644474036,156.48934753661786,244.69906790945407,239.69906790945407,243.47270306258324,-0.0404837429523468
frame16,160.1484687083888,159.23968042609854,157.2157123834887,244.5659121171771,239.78761651131825,243.5659121171771,-0.026200205087661743
frame17,160.03195739014646,159.26897470039947,157.37416777629826,244.16777629826896,239.16777629826896,242.91344873501998,-0.01230892539024353
frame18,159.61717709720372,158.83621837549933,156.96338215712385,244.12982689747005,239.12982689747005,242.8735019973369,-0.008932113647460938
frame19,159.99001331557923,159.19906790945407,157.2363515312916,243.91344873501998,239.16777629826896,242.91344873501998,-0.006323188543319702
frame20,159.7982689747004,158.9553928095872,157.08189081225032,244.12982689747005,239.12982689747005,242.8735019973369,-0.006737321615219116
frame21,160.08721704394142,159.37882822902796,157.41611185086552,244.16777629826896,239.16777629826896,242.91344873501998,-0.004684001207351685
frame22,159.84753661784288,159.07656458055925,157.25632490013317,243.78828229027962,238.78828229027962,242.51398135818908,-0.005852818489074707
frame23,159.17709720372835,158.44340878828228,156.57256990679093,243.4607190412783,238.73768308921439,242.4607190412783,-0.012562990188598633
frame24,159.03728362183756,158.28761651131825,156.3382157123835,243.71238348868175,238.71238348868175,242.4340878828229,-0.01762908697128296
frame25,159.19107856191744,158.69374167776297,156.44673768308922,243.73768308921439,238.73768308921439,242.4607190412783,-0.01719912886619568
frame26,158.78295605858855,158.00998668442077,155.56458055925432,243.09853528628494,238.09853528628494,241.82623169107856,-0.02613428235054016
frame27,159.02796271637817,158.36817576564582,155.9300932090546,243.18242343541945,238.18242343541945,241.91478029294274,-0.028085142374038696
frame28,159.38748335552597,158.72769640479362,156.33222370173104,243.6977363515313,238.6977363515313,242.45872170439415,-0.021085739135742188
frame29,159.87616511318242,159.09853528628494,156.7583222370173,244.33954727030627,238.57256990679093,242.33954727030627,-0.011714756488800049
frame30,159.3728362183755,158.6757656458056,156.262982689747,243.6977363515313,238.6977363515313,242.45872170439415,-0.01267176866531372
frame31,160.0559254327563,159.28362183754993,156.939414114514,244.57256990679093,238.80559254327562,242.57256990679093,-0.007474333047866821
frame32,159.74633821571237,158.974034620506,156.57190412782955,244.21970705725698,238.45872170439415,242.21970705725698,-0.009084999561309814
frame33,160.22902796271637,159.4906790945406,157.12050599201066,244.33954727030627,238.57256990679093,242.33954727030627,-0.0057697594165802
frame34,160.11917443408788,159.26431424766977,156.84420772303596,243.45872170439415,237.6977363515313,241.45872170439415,-0.006919980049133301
frame35,159.48402130492676,158.79693741677764,156.3821571238349,245.54593874833554,239.67509986684422,243.54593874833554,-0.01404482126235962
frame36,159.82689747003994,159.23368841544607,156.76165113182424,243.17043941411453,238.17043941411453,242.00399467376832,-0.011440098285675049
frame37,160.5845539280959,159.9347536617843,157.48535286284954,243.27230359520638,238.27230359520638,241.27230359520638,-0.004705935716629028
frame38,159.8854860186418,159.12516644474036,156.66711051930758,243.41278295605858,238.41278295605858,241.41278295605858,-0.009301751852035522
frame39,160.0079893475366,159.13315579227697,156.814913448735,244.41411451398136,239.41411451398136,242.41411451398136,-0.011770427227020264
frame40,159.81091877496672,158.9613848202397,156.65512649800266,243.46737683089214,238.46737683089214,242.43275632490014,-0.013454794883728027
frame41,160.262982689747,159.73368841544607,157.38348868175765,244.3774966711052,239.3774966711052,243.34087882822902,-0.009795725345611572
frame42,160.33555259653795,159.80492676431425,157.39081225033289,246.71171770972038,242.70972037283622,245.70972037283622,-0.009875625371932983
frame43,166.21970705725698,164.84753661784288,163.32623169107856,248.37882822902796,242.80159786950733,245.61118508655127,-0.007299840450286865
frame44,173.80559254327562,171.69573901464713,170.43541944074568,248.34953395472704,242.79227696404794,245.08055925432757,-0.01966571807861328
